Municipio,Genero,Idade
Cazenga,Masculino,13
Cazenga,Masculino,13
Cazenga,Feminino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Masculino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Masculino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Feminino,15
Cazenga,Masculino,15
Cazenga,Feminino,15
Cazenga,Feminino,15
Cazenga,Feminino,15
Cazenga,Feminino,15
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
Cazenga,Feminino,16
Cazenga,Masculino,16
